date,country,total_okun,lower,upper
1948-04-01,US,-0.07226384455367832,-0.1254190010227993,-0.019108688084557332
1948-07-01,US,-0.07036498256621157,-0.15195110698930214,0.011221141856879016
1948-10-01,US,-0.14610453238950305,-0.26627401601844847,-0.025935048760557605
1949-01-01,US,-0.18834040606889615,-0.3033304773922801,-0.07335033474551221
1949-04-01,US,-0.17291770121065098,-0.2617004232739795,-0.08413497914732242
1949-07-01,US,-0.08993857211706191,-0.22625188157650758,0.04637473734238376
1949-10-01,US,-0.10544168658916615,-0.24894258667998337,0.038059213501651076
1950-01-01,US,-0.12833088454682762,-0.236422267011637,-0.020239502082018246
1950-04-01,US,-0.08667534480645225,-0.11257832009828109,-0.06077236951462343
1950-07-01,US,-0.08761984855014035,-0.1150547169007395,-0.0601849801995412
1950-10-01,US,-0.07914491395205203,-0.1260174191884657,-0.03227240871563836
1951-01-01,US,-0.16028839510097742,-0.21224943912784672,-0.10832735107410811
1951-04-01,US,-0.11746639020135038,-0.17081610580760218,-0.0641166745950986
1951-07-01,US,-0.045018957397486674,-0.08902877202117208,-0.0010091427738012637
1951-10-01,US,-0.08577878428568259,-0.17069620308050265,-0.0008613654908625062
1952-01-01,US,-0.17595553575514739,-0.2784292138048212,-0.07348185770547354
1952-04-01,US,-0.16806540923389668,-0.2714647563201398,-0.06466606214765357
1952-07-01,US,-0.10904100498913616,-0.2263651056416044,0.008283095663332088
1952-10-01,US,-0.09062052866339246,-0.16736781993526115,-0.013873237391523768
1953-01-01,US,-0.04958603257819525,-0.09005031809757538,-0.009121747058815112
1953-04-01,US,-0.0866405870378554,-0.15434120972006743,-0.018939964355643393
1953-07-01,US,-0.1353614763325202,-0.26227244341103106,-0.008450509254009309
1953-10-01,US,-0.17892534909241348,-0.2605102111023612,-0.09734048708246572
1954-01-01,US,-0.23874041272636526,-0.32204928529290655,-0.15543154015982394
1954-04-01,US,-0.19551040917433513,-0.3271699742482341,-0.06385084410043618
